over,runs
1,7
2,16
3,6
4,4
5,9
6,17
7,5
8,11
9,9
10,4
11,10
12,8
13,18
14,8
15,19
16,4
17,7
18,17
19,12
20,16
1,11
2,1
3,16
4,15
5,5
6,6
7,7
8,13
9,11
10,13
11,13
12,7
13,8
14,4
15,9
16,12
17,3
18,2
19,9
20,7
1,11
2,8
3,9
4,13
5,7
6,13
7,2
8,3
9,10
10,6
11,10
12,3
13,11
14,5
15,9
16,7
17,10
18,8
19,9
20,30
1,8
2,15
3,12
4,4
5,4
6,16
7,4
8,10
9,9
10,11
11,4
12,8
13,9
14,15
15,10
16,9
17,10
18,7
19,7
20,15
1,8
2,8
3,6
4,7
5,11
6,12
7,12
8,8
9,4
10,15
11,4
12,7
13,7
14,7
15,9
16,5
17,11
18,12
19,16
20,14
1,7
2,13
3,17
4,9
5,7
6,20
7,23
8,7
9,6
10,7
11,15
12,16
13,6
14,9
15,22
1,1
2,2
3,4
4,13
5,12
6,3
7,7
8,6
9,5
10,10
11,8
12,4
13,9
14,14
15,10
16,15
17,5
18,5
19,14
20,16
1,6
2,13
3,8
4,11
5,10
6,8
7,3
8,3
9,4
10,7
11,12
12,3
13,15
14,13
15,12
16,15
17,2
18,12
19,7
